ObservationID	BamFileName	EffectiveAlignmentCount	SampleID	FilePath	Barcode	Cell_Line	Cell_Type	Client Sample Name	Conc [ng/ml]	Disease Status	Lab Sample	Lane	PlatformType	ReplicateGroup	Run ID	SampleName	Sequence Start Date	Sequencer	Species	Total Clusters [Mil]	Treatment	TreatmentDuration [hr]	VendorBarcode
Q22368_A1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_A1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	104049343	Q22368_A1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+A1_L001_D701_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+A1_L001_D701_2.fastq.gz	Q22368+A1	Fibroblasts	Lung	Q22368+A1	0	Normal	3018-01A	1	RNA-Seq	Normal_control	H45287	hu-IPF_Normal_Fibroblast_NoTGFb_D1-N#1_A1	20150623	HS-03A	Human	52.912	control	12	D701
Q22368_A2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_A2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	152377983	Q22368_A2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+A2_L001_D707_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+A2_L001_D707_2.fastq.gz	Q22368+A2	Fibroblasts	Lung	Q22368+A2	0	Normal	3018-02A	1	RNA-Seq	Normal_control	H45288	hu-IPF_Normal_Fibroblast_NoTGFb_D2-N#2_A2	20150623	HS-03B	Human	76.061	control	12	D707
Q22368_A3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_A3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	94136504	Q22368_A3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+A3_L001_D701_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+A3_L001_D701_2.fastq.gz	Q22368+A3	Fibroblasts	Lung	Q22368+A3	0	Normal	3018-03A	1	RNA-Seq	Normal_control	H45289	hu-IPF_Normal_Fibroblast_NoTGFb_D3-N#14_A3	20150624	HS-03A	Human	46.578	control	12	D701
Q22368_B1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_B1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	112585651	Q22368_B1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+B1_L001_D702_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+B1_L001_D702_2.fastq.gz	Q22368+B1	Fibroblasts	Lung	Q22368+B1	1	Normal	3018-01B	1	RNA-Seq	Normal_TGFb	H45287	hu-IPF_Normal_Fibroblast_TGFb_D1-N#1_B1	20150623	HS-03A	Human	54.86	TGFb	12	D702
Q22368_B2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_B2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	135119349	Q22368_B2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+B2_L001_D708_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+B2_L001_D708_2.fastq.gz	Q22368+B2	Fibroblasts	Lung	Q22368+B2	1	Normal	3018-02B	1	RNA-Seq	Normal_TGFb	H45288	hu-IPF_Normal_Fibroblast_TGFb_D2-N#2_B2	20150623	HS-03B	Human	66.403	TGFb	12	D708
Q22368_B3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_B3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	143566032	Q22368_B3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+B3_L001_D702_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+B3_L001_D702_2.fastq.gz	Q22368+B3	Fibroblasts	Lung	Q22368+B3	1	Normal	3018-03B	1	RNA-Seq	Normal_TGFb	H45289	hu-IPF_Normal_Fibroblast_TGFb_D3-N#14_B3	20150624	HS-03A	Human	68.919	TGFb	12	D702
Q22368_C1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_C1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	118231131	Q22368_C1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+C1_L001_D703_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+C1_L001_D703_2.fastq.gz	Q22368+C1	Fibroblasts	Lung	Q22368+C1	0	Stable	3018-01C	1	RNA-Seq	Stable_control	H45287	hu-IPF_Stable_Fibroblast_NoTGFb_S1-S109_C1	20150623	HS-03A	Human	59.63	control	12	D703
Q22368_C2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_C2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	117753342	Q22368_C2_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+C2_L001_D709_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+C2_L001_D709_2.fastq.gz	Q22368+C2	Fibroblasts	Lung	Q22368+C2	0	Stable	3018-02C	1	RNA-Seq	Stable_control	H45288	hu-IPF_Stable_Fibroblast_NoTGFb_S2-S161_C2	20150623	HS-03B	Human	59.491	control	12	D709
Q22368_C3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_C3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	103454089	Q22368_C3_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+C3_L001_D703_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+C3_L001_D703_2.fastq.gz	Q22368+C3	Fibroblasts	Lung	Q22368+C3	0	Stable	3018-03C	1	RNA-Seq	Stable_control	H45289	hu-IPF_Stable_Fibroblast_NoTGFb_S3-S170_C3	20150624	HS-03A	Human	52.233	control	12	D703
Q22368_D1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	Q22368_D1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015.bam	165151392	Q22368_D1_TB3_TGFB_Stim_HuIPF_Fibroblasts_10Jul2015	/ng21/omicsoft_ngs/tb3/fastq/Q22368+D1_L001_D704_1.fastq.gz,/ng21/omicsoft_ngs/tb3/fastq/Q22368+D1_L001_D704_2.fastq.gz	Q22368+D1	Fibroblasts	Lung	Q22368+D1	1	Stable	3018-01D	1	RNA-Seq	Stable_TGFb	H45287	hu-IPF_Stable_Fibroblast_TGFb_S1-S109_D1	20150623	HS-03A	Human	83.542	TGFb	12	D704
