GeneID	GeneName	GeneDescription	Transcript#	Strand	Chromosome	Start	End	ExonLength	Source	IsConfounded
DDX11L1_1_+_1	DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1	1	+	1	11874	14409	1652	hg38_refGene	True
WASH7P_1_-_1	WASH7P	WAS protein family homolog 7 pseudogene	1	-	1	14362	29370	1769	hg38_refGene	True
MIR6859-1_1_-_1	MIR6859-1	microRNA mir-6859-1	1	-	1	17369	17436	68	hg38_refGene	True
MIR6859-2_1_-_1	MIR6859-2	microRNA mir-6859-2	1	-	1	17369	17436	68	hg38_refGene	True
MIR6859-3_1_-_1	MIR6859-3	microRNA mir-6859-3	1	-	1	17369	17436	68	hg38_refGene	True
MIR6859-4_1_-_1	MIR6859-4		1	-	1	17369	17436	68	hg38_refGene	True
MIR1302-10_1_+_1	MIR1302-10	microRNA 1302-10	1	+	1	30366	30503	138	hg38_refGene	True
MIR1302-11_1_+_1	MIR1302-11	microRNA 1302-11	1	+	1	30366	30503	138	hg38_refGene	True
MIR1302-2_1_+_1	MIR1302-2	microRNA 1302-2	1	+	1	30366	30503	138	hg38_refGene	True
MIR1302-9_1_+_1	MIR1302-9	microRNA 1302-9	1	+	1	30366	30503	138	hg38_refGene	True
FAM138A_1_-_1	FAM138A	family with sequence similarity 138, member A	1	-	1	34611	36081	1130	hg38_refGene	True
FAM138C_1_-_1	FAM138C	family with sequence similarity 138, member C	1	-	1	34611	36081	1130	hg38_refGene	True
FAM138F_1_-_1	FAM138F	family with sequence similarity 138, member F	1	-	1	34611	36081	1130	hg38_refGene	True
OR4F5_1_+_1	OR4F5	olfactory receptor, family 4, subfamily F, member 5	1	+	1	69091	70008	918	hg38_refGene	False
LOC729737_1_-_1	LOC729737		1	-	1	134773	140566	5474	hg38_refGene	False
MIR6859-1_1_-_2	MIR6859-1	microRNA mir-6859-1	1	-	1	187891	187958	68	hg38_refGene	True
MIR6859-2_1_-_2	MIR6859-2	microRNA mir-6859-2	1	-	1	187891	187958	68	hg38_refGene	True
MIR6859-3_1_-_2	MIR6859-3	microRNA mir-6859-3	1	-	1	187891	187958	68	hg38_refGene	True
MIR6859-4_1_-_2	MIR6859-4		1	-	1	187891	187958	68	hg38_refGene	True
FAM138D_1_-_1	FAM138D	family with sequence similarity 138, member D	1	-	1	205129	206597	1126	hg38_refGene	False
OR4F16_1_-_1	OR4F16	olfactory receptor, family 4, subfamily F, member 16	1	-	1	450740	451678	939	hg38_refGene	True
OR4F29_1_-_1	OR4F29	olfactory receptor, family 4, subfamily F, member 29	1	-	1	450740	451678	939	hg38_refGene	True
OR4F3_1_-_1	OR4F3	olfactory receptor, family 4, subfamily F, member 3	1	-	1	450740	451678	939	hg38_refGene	True
LOC100132062_1_-_1	LOC100132062		1	-	1	490756	495445	4370	hg38_refGene	True
LOC100132287_1_-_1	LOC100132287		1	-	1	490756	495445	4370	hg38_refGene	True
LOC101928626_1_-_1	LOC101928626		1	-	1	627380	629009	798	hg38_refGene	False
MIR6723_1_-_1	MIR6723	microRNA mir-6723	1	-	1	632325	632413	89	hg38_refGene	False
OR4F16_1_-_2	OR4F16	olfactory receptor, family 4, subfamily F, member 16	1	-	1	685716	686654	939	hg38_refGene	True
OR4F29_1_-_2	OR4F29	olfactory receptor, family 4, subfamily F, member 29	1	-	1	685716	686654	939	hg38_refGene	True
OR4F3_1_-_2	OR4F3	olfactory receptor, family 4, subfamily F, member 3	1	-	1	685716	686654	939	hg38_refGene	True
LOC100133331_1_-_1	LOC100133331		1	-	1	725759	730351	4273	hg38_refGene	False
LOC100288069_1_-_1	LOC100288069		1	-	1	764865	778688	1371	hg38_refGene	False
FAM87B_1_+_1	FAM87B	family with sequence similarity 87, member B	1	+	1	817371	819834	1944	hg38_refGene	False
LINC00115_1_-_1	LINC00115	long intergenic non-protein coding RNA 115	1	-	1	826206	827522	1317	hg38_refGene	False
LINC01128_1_+_1	LINC01128	long intergenic non-protein coding RNA 1128	6	+	1	827591	859446	9233	hg38_refGene	False
FAM41C_1_-_1	FAM41C	family with sequence similarity 41, member C	1	-	1	868071	876802	1706	hg38_refGene	False
LOC100130417_1_-_1	LOC100130417		2	-	1	916818	919692	1506	hg38_refGene	False
SAMD11_1_+_1	SAMD11	sterile alpha motif domain containing 11	1	+	1	925741	944581	2554	hg38_refGene	True
NOC2L_1_-_1	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	1	-	1	944203	959299	2800	hg38_refGene	True
KLHL17_1_+_1	KLHL17	kelch-like family member 17	1	+	1	960587	965719	2564	hg38_refGene	False
PLEKHN1_1_+_1	PLEKHN1	pleckstrin homology domain containing, family N member 1	2	+	1	966497	975104	2436	hg38_refGene	False
PERM1_1_-_1	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	2	-	1	975199	982117	3454	hg38_refGene	False
HES4_1_-_1	HES4	hes family bHLH transcription factor 4	2	-	1	998962	1000172	1040	hg38_refGene	False
ISG15_1_+_1	ISG15	ISG15 ubiquitin-like modifier	1	+	1	1013467	1014539	666	hg38_refGene	False
AGRN_1_+_1	AGRN	agrin	2	+	1	1020123	1056119	7394	hg38_refGene	False
RNF223_1_-_1	RNF223	ring finger protein 223	1	-	1	1071746	1074307	1122	hg38_refGene	False
C1orf159_1_-_1	C1orf159	chromosome 1 open reading frame 159	1	-	1	1081818	1116356	2104	hg38_refGene	False
LINC01342_1_+_1	LINC01342		1	+	1	1137017	1144054	1618	hg38_refGene	False
MIR200B_1_+_1	MIR200B	microRNA 200b	1	+	1	1167104	1167198	95	hg38_refGene	False
MIR200A_1_+_1	MIR200A	microRNA 200a	1	+	1	1167863	1167952	90	hg38_refGene	False
MIR429_1_+_1	MIR429	microRNA 429	1	+	1	1169005	1169087	83	hg38_refGene	False
TTLL10_1_+_1	TTLL10	tubulin tyrosine ligase-like family, member 10	2	+	1	1173906	1197933	3129	hg38_refGene	False
TNFRSF18_1_-_1	TNFRSF18	tumor necrosis factor receptor superfamily, member 18	3	-	1	1203508	1206709	1200	hg38_refGene	False
TNFRSF4_1_-_1	TNFRSF4	tumor necrosis factor receptor superfamily, member 4	1	-	1	1211326	1214168	1104	hg38_refGene	False
SDF4_1_-_1	SDF4	stromal cell derived factor 4	2	-	1	1216908	1232067	2138	hg38_refGene	False
B3GALT6_1_+_1	B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	1	+	1	1232249	1235040	2792	hg38_refGene	False
FAM132A_1_-_1	FAM132A	family with sequence similarity 132, member A	1	-	1	1242446	1246722	1043	hg38_refGene	False
UBE2J2_1_-_1	UBE2J2	ubiquitin-conjugating enzyme E2, J2	4	-	1	1253912	1273854	2437	hg38_refGene	False
